Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Trpc6 mean,Nucleus: Trpc6 sum,Nucleus: Trpc6 std dev,Nucleus: Trpc6 max,Nucleus: Trpc6 min,Nucleus: Trpc6 range,Nucleus: Dapi mean,Nucleus: Dapi sum,Nucleus: Dapi std dev,Nucleus: Dapi max,Nucleus: Dapi min,Nucleus: Dapi range,Nucleus: Th mean,Nucleus: Th sum,Nucleus: Th std dev,Nucleus: Th max,Nucleus: Th min,Nucleus: Th range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: Trpc6 mean,Cell: Trpc6 std dev,Cell: Trpc6 max,Cell: Trpc6 min,Cell: Dapi mean,Cell: Dapi std dev,Cell: Dapi max,Cell: Dapi min,Cell: Th mean,Cell: Th std dev,Cell: Th max,Cell: Th min,Cytoplasm: Trpc6 mean,Cytoplasm: Trpc6 std dev,Cytoplasm: Trpc6 max,Cytoplasm: Trpc6 min,Cytoplasm: Dapi mean,Cytoplasm: Dapi std dev,Cytoplasm: Dapi max,Cytoplasm: Dapi min,Cytoplasm: Th mean,Cytoplasm: Th std dev,Cytoplasm: Th max,Cytoplasm: Th min,Nucleus/Cell area ratio
9937_4.tif,761aa15f-8b5a-40b7-90dd-edb39c4cab6d,Cell,,,VTA,Polygon,1843.4,591.98,25.7293,23.6969,0.5758,9.9521,3.8873,0.9328,3.9167,1269,5.6631,33,2,31,191.358,62000,66.3411,255,6,249,2.858,926,2.3005,23,2,21,127.4365,44.5781,0.8059,16.5587,10.0217,0.8153,4.4525,6.4242,47,2,58.6158,79.4618,255,2,4.1424,4.7731,88,2,4.5908,6.6013,47,2,24.3734,33.0007,255,2,4.4737,5.1736,88,2,0.2016
9937_4.tif,358066c3-6cd8-4361-8a12-859493709615,Cell,,,VTA,Polygon,1634.2,594.22,56.7012,27.7715,0.9239,9.4696,8.0641,0.4936,3.5198,2485,5.5654,48,2,46,231.4533,163406,40.1393,255,58,197,2.5212,1780,1.7161,22,2,20,167.9258,50.5894,0.8245,18.2356,13.4417,0.648,4.3941,7.3096,66,2,94.5518,102.5764,255,1,2.8854,2.2916,35,2,4.8413,8.0224,66,2,24.5138,24.1029,192,1,3.0717,2.5164,35,2,0.3358
9937_4.tif,371a301d-6174-4feb-8972-719083b39e4a,Cell,,,VTA,Polygon,1897.1,591.94,13.4696,14.5525,0.7993,5.525,3.5878,0.7442,3.6474,631,5.6976,38,2,36,32.9711,5704,21.7762,114,2,112,3.1618,547,2.6931,21,2,19,100.0134,37.5703,0.8904,12.9746,9.94,0.491,4.4063,7.4842,83,2,15.9928,15.5131,114,2,3.0619,2.6409,29,2,4.529,7.7296,83,2,13.2477,12.2111,84,2,3.0458,2.6333,29,2,0.1353
9937_4.tif,87fd64d0-a8c8-4802-95e6-7b111daaf308,Cell,,,VTA,Polygon,2027.8,595.77,28.3103,24.7778,0.5795,10.2665,3.7867,0.9434,7.0198,2478,11.3664,83,2,81,119.068,42031,70.9012,255,3,252,4.1388,1461,3.6417,26,2,24,171.394,51.0389,0.8268,19.1874,12.9487,0.7195,5.0879,8.1896,83,2,32.4272,50.0294,255,2,3.632,3.6689,52,2,4.7037,7.341,62,2,15.1966,14.5864,151,2,3.5313,3.6669,52,2,0.1647
9937_4.tif,cce9e9be-cb1f-4eb7-a8f1-229465a8f9bf,Cell,,,VTA,Polygon,2073.9,595.67,26.8584,20.4847,0.8043,7.4728,5.498,0.7045,7.9196,2661,11.1268,80,2,78,162.0327,54443,64.3876,255,20,235,2.9107,978,2.5646,22,2,20,120.2581,43.4704,0.7997,15.4248,11.3347,0.6958,5.7582,8.9379,80,2,56.1909,68.8416,255,2,3.067,2.6816,25,2,5.1305,8.0917,68,2,25.4538,26.7123,197,2,3.1124,2.7141,25,2,0.2221
9937_4.tif,d5d95a05-2fff-42a2-b1c5-430ccbb337a1,Cell,,,VTA,Polygon,1795,598.19,64.6055,39.6089,0.5175,17.2356,5.865,0.9449,3.5287,2830,5.4847,50,2,48,207.389,166326,61.9908,255,2,253,2.5524,2047,2.1458,34,2,32,252.5339,61.999,0.8256,23.9574,14.3509,0.7818,4.413,7.3649,67,2,68.7111,89.7163,255,1,3.1807,3.4923,83,2,4.7173,7.8873,67,2,20.9979,24.5215,255,1,3.3968,3.8247,83,2,0.2563
9937_4.tif,db6a487c-9d18-4a19-83be-9534be951f31,Cell,,Trpc6: Th,VTA,Polygon,1915,597.14,23.5516,19.2583,0.798,6.9161,5.3897,0.4646,62.0234,18545,74.3471,255,2,253,191.8161,57353,67.4079,255,13,242,18.5217,5538,23.9149,108,2,106,101.1426,40.9544,0.7578,13.659,11.4375,0.4104,26.5984,51.1271,255,1,70.6429,81.4921,255,2,19.5508,21.8319,129,2,15.5765,34.6386,255,1,32.9417,36.0955,255,2,19.871,21.1451,129,2,0.2339
9937_4.tif,814caacb-4100-4843-a9da-bff3d9040d5d,Cell,,,VTA,Polygon,1839.9,602.85,52.0231,27.292,0.8777,10.2673,6.4667,0.7793,3.8968,2529,6.1424,55,2,53,229.6502,149043,45.7605,255,35,220,2.963,1923,2.6108,23,2,21,150.1815,48.5771,0.7998,18.8274,11.1317,0.8238,4.809,7.7843,68,2,97.5123,104.9307,255,2,3.3171,2.917,25,2,5.2963,8.4951,68,2,26.93,38.1919,255,2,3.5062,3.0522,25,2,0.3464
9937_4.tif,64e7c301-66ca-4bd1-b41e-56f98f554f91,Cell,,,VTA,Polygon,1775.9,600.31,26.6165,23.6636,0.5973,9.7599,3.9809,0.9268,6.2545,2089,8.8058,61,2,59,106.3952,35536,48.3716,255,5,250,3.3653,1124,2.8377,27,2,25,110.902,43.6192,0.7325,17.5291,8.8235,0.8896,5.3038,7.9745,65,2,51.0189,44.7949,255,2,3.3081,2.8139,27,2,4.999,7.6686,65,2,33.2687,24.5492,137,2,3.2898,2.8074,25,2,0.2412
9937_4.tif,13555fc5-ee10-4d35-8ef4-88521fce1101,Cell,,,VTA,Polygon,2088,598.77,26.1325,19.3596,0.8762,6.7697,5.4909,0.5844,6.2805,2060,9.8366,54,2,52,134.6189,44155,56.8545,255,10,245,3.0274,993,2.2563,17,2,15,78.4783,34.2057,0.8429,11.888,9.0682,0.5673,5.1494,8.1889,54,2,60.1689,65.0623,255,2,3.5384,4.5131,89,2,4.5778,7.1553,45,2,22.5424,22.8265,148,2,3.7966,5.2829,89,2,0.3269
