Group,mouse_ID,slice,Metric,Label,Value
ssgTrpc6,121,3,Mean_Th_neg,Th,
ssgTrpc6,121,3,Mean_Th_neg,Trpc6,13.440481333333334
sgTrpc6,123,1,Count,Th,828.0
sgTrpc6,123,1,Count,Trpc6,166.0
sgTrpc6,123,1,Count,Th:Trpc6,783.0
sgTrpc6,123,1,Mean_all,Th,73.37667566728739
sgTrpc6,123,1,Mean_all,Trpc6,23.99744899894626
sgTrpc6,123,1,Mean_Th_pos,Th,73.37667566728739
sgTrpc6,123,1,Mean_Th_pos,Trpc6,25.710371519795657
sgTrpc6,123,1,Mean_Th_neg,Th,
sgTrpc6,123,1,Mean_Th_neg,Trpc6,15.91782048192771
sgTrpc6,123,2,Count,Th,920.0
sgTrpc6,123,2,Count,Trpc6,116.0
sgTrpc6,123,2,Count,Th:Trpc6,682.0
sgTrpc6,123,2,Mean_all,Th,67.66804444444445
sgTrpc6,123,2,Mean_all,Trpc6,21.135807142857143
sgTrpc6,123,2,Mean_Th_pos,Th,67.66804444444445
sgTrpc6,123,2,Mean_Th_pos,Trpc6,22.216741495601173
sgTrpc6,123,2,Mean_Th_neg,Th,
sgTrpc6,123,2,Mean_Th_neg,Trpc6,14.780658620689655
sgTrpc6,123,3,Count,Th,840.0
sgTrpc6,123,3,Count,Trpc6,103.0
sgTrpc6,123,3,Count,Th:Trpc6,580.0
sgTrpc6,123,3,Mean_all,Th,63.54998647887323
sgTrpc6,123,3,Mean_all,Trpc6,20.28101288433382
sgTrpc6,123,3,Mean_Th_pos,Th,63.54998647887323
sgTrpc6,123,3,Mean_Th_pos,Trpc6,21.869524137931034
sgTrpc6,123,3,Mean_Th_neg,Th,
sgTrpc6,123,3,Mean_Th_neg,Trpc6,11.335998058252427
sgRosa26,128,1,Count,Th,424.0
sgRosa26,128,1,Count,Trpc6,163.0
sgRosa26,128,1,Count,Th:Trpc6,888.0
sgRosa26,128,1,Mean_all,Th,68.80841448170732
sgRosa26,128,1,Mean_all,Trpc6,26.68467878211227
sgRosa26,128,1,Mean_Th_pos,Th,68.80841448170732
sgRosa26,128,1,Mean_Th_pos,Trpc6,28.87107105855856
sgRosa26,128,1,Mean_Th_neg,Th,
sgRosa26,128,1,Mean_Th_neg,Trpc6,14.773535582822088
sgRosa26,128,2,Count,Th,712.0
sgRosa26,128,2,Count,Trpc6,100.0
sgRosa26,128,2,Count,Th:Trpc6,830.0
sgRosa26,128,2,Mean_all,Th,52.970659597924765
sgRosa26,128,2,Mean_all,Trpc6,22.646969677419353
sgRosa26,128,2,Mean_Th_pos,Th,52.970659597924765
sgRosa26,128,2,Mean_Th_pos,Trpc6,23.72138313253012
sgRosa26,128,2,Mean_Th_neg,Th,
sgRosa26,128,2,Mean_Th_neg,Trpc6,13.729338000000002
sgRosa26,128,3,Count,Th,580.0
sgRosa26,128,3,Count,Trpc6,72.0
sgRosa26,128,3,Count,Th:Trpc6,546.0
sgRosa26,128,3,Mean_all,Th,53.421478863232686
sgRosa26,128,3,Mean_all,Trpc6,23.573187378640778
